t_s,drone_id,lat,lon,heading_deg,speed_kn,kf_std_m,is_lost
10.43,5,54.4382714,18.9253767,340.6,9.1,0.84,0
10.43,6,54.4382440,18.9252047,331.3,5.5,0.84,0
10.43,7,54.4382223,18.9250541,320.1,7.8,0.84,0
10.43,8,54.4382496,18.9255577,351.2,9.5,0.84,0
11.44,0,54.4384246,18.9254052,333.4,8.1,0.84,0
11.44,1,54.4384089,18.9252772,31.2,6.5,0.84,0
11.44,2,54.4384412,18.9249854,316.5,9.1,0.84,0
11.44,3,54.4384906,18.9254869,332.4,11.2,0.84,0
11.44,4,54.4384727,18.9256337,351.6,11.7,0.84,0
11.44,5,54.4382812,18.9253798,339.9,11.2,0.84,0
11.44,6,54.4382516,18.9252100,328.5,6.5,0.84,0
11.44,7,54.4382331,18.9250436,315.8,8.0,0.84,0
11.44,8,54.4382653,18.9255565,350.4,11.9,0.84,0
12.45,0,54.4384278,18.9253949,331.3,7.2,0.84,0
12.45,1,54.4384107,18.9252972,37.5,6.4,0.84,0
12.45,2,54.4384592,18.9249932,312.9,8.0,0.84,0
12.45,3,54.4384966,18.9254762,334.3,12.3,0.84,0
12.45,4,54.4384826,18.9256334,353.1,12.6,0.84,0
12.45,5,54.4382992,18.9253797,335.8,8.9,0.84,0
12.45,6,54.4382623,18.9252086,329.6,7.6,0.84,0
12.45,7,54.4382326,18.9250427,312.5,7.0,0.84,0
12.45,8,54.4382825,18.9255714,351.4,13.1,0.84,0
13.46,0,54.4384368,18.9253963,330.5,8.9,0.84,0
13.46,1,54.4384219,18.9252970,38.1,5.3,0.84,0
13.46,2,54.4384665,18.9250036,309.3,7.4,0.84,0
13.46,3,54.4385088,18.9254680,337.1,10.9,0.84,0
13.46,4,54.4384933,18.9256300,355.0,11.1,0.84,0
13.46,5,54.4383079,18.9253723,334.0,8.0,0.84,0
13.46,6,54.4382799,18.9251966,320.8,7.7,0.84,0
13.46,7,54.4382451,18.9250340,306.7,6.2,0.84,0
13.46,8,54.4382971,18.9255634,354.4,11.5,0.84,0
14.46,0,54.4384541,18.9253996,338.4,11.2,0.84,0
14.46,1,54.4384343,18.9253015,42.1,5.0,0.84,0
14.46,2,54.4384704,18.9250064,305.9,7.9,0.84,0
14.46,3,54.4385297,18.9254573,339.2,9.1,0.84,0
14.46,4,54.4385130,18.9256285,357.1,9.3,0.84,0
14.46,5,54.4383201,18.9253752,335.6,9.5,0.84,0
14.46,6,54.4382887,18.9251966,316.0,6.7,0.84,0
14.46,7,54.4382564,18.9250113,305.3,6.7,0.84,0
14.46,8,54.4383166,18.9255614,356.4,9.6,0.84,0
15.48,0,54.4384663,18.9253946,343.4,11.2,0.84,0
15.48,1,54.4384460,18.9253038,42.1,5.9,0.84,0
15.48,2,54.4384824,18.9249922,302.1,9.2,0.84,0
15.48,3,54.4385434,18.9254526,338.6,8.9,0.84,0
15.48,4,54.4385234,18.9256207,1.7,9.3,0.84,0
15.48,5,54.4383275,18.9253748,331.1,7.7,0.84,0
15.48,6,54.4382977,18.9251990,314.7,6.3,0.84,0
15.48,7,54.4382612,18.9250059,301.6,8.0,0.84,0
15.48,8,54.4383310,18.9255587,356.2,9.3,0.84,0
16.49,0,54.4384877,18.9253917,352.3,9.3,0.84,0
16.49,1,54.4384517,18.9253136,45.3,7.2,0.84,0
16.49,2,54.4384969,18.9249679,293.2,9.8,0.84,0
16.49,3,54.4385620,18.9254532,341.3,10.9,0.84,0
16.49,4,54.4385447,18.9256301,3.5,11.3,0.84,0
16.49,5,54.4383413,18.9253731,327.9,6.3,0.84,0
16.49,6,54.4383090,18.9251857,309.7,7.1,0.84,0
16.49,7,54.4382693,18.9249957,292.5,8.7,0.84,0
16.49,8,54.4383439,18.9255375,359.0,11.2,0.84,0
17.50,0,54.4384939,18.9253786,357.2,8.2,0.84,0
17.50,1,54.4384563,18.9253193,50.2,7.2,0.84,0
17.50,2,54.4385069,18.9249427,287.5,9.4,0.84,0
17.50,3,54.4385887,18.9254461,349.3,12.7,0.84,0
17.50,4,54.4385713,18.9256338,6.3,13.3,0.84,0
17.50,5,54.4383468,18.9253690,325.8,5.8,0.84,0
17.50,6,54.4383046,18.9251900,306.5,8.2,0.84,0
17.50,7,54.4382782,18.9249824,288.3,8.2,0.84,0
17.50,8,54.4383695,18.9255422,2.2,13.0,0.84,0
18.51,0,54.4385089,18.9253974,356.2,9.8,0.84,0
18.51,1,54.4384588,18.9253401,55.3,6.2,0.84,0
18.51,2,54.4385086,18.9249266,281.5,12.2,0.84,0
18.51,3,54.4385976,18.9254357,349.4,12.1,0.84,0
18.51,4,54.4385802,18.9256357,8.5,12.8,0.84,0
18.51,5,54.4383593,18.9253612,326.5,6.9,0.84,0
18.51,6,54.4383174,18.9251900,303.9,8.6,0.84,0
18.51,7,54.4382934,18.9249794,286.1,7.8,0.84,0
18.51,8,54.4383868,18.9255391,3.1,12.6,0.84,0
19.52,0,54.4385258,18.9253857,2.5,12.6,0.84,0
19.52,1,54.4384688,18.9253335,60.7,5.5,0.84,0
19.52,2,54.4385292,18.9249152,291.8,9.3,0.84,0
19.52,3,54.4386065,18.9254263,352.2,10.2,0.84,0
19.52,4,54.4386003,18.9256491,10.7,10.8,0.84,0
19.52,5,54.4383702,18.9253642,319.0,8.3,0.84,0
19.52,6,54.4383386,18.9251724,297.0,8.0,0.84,0
19.52,7,54.4382983,18.9249577,279.8,8.0,0.84,0
19.52,8,54.4383948,18.9255472,5.3,10.6,0.84,0
20.53,0,54.4385440,18.9253906,8.6,13.1,0.84,0
20.53,1,54.4384748,18.9253385,61.6,6.2,0.84,0
20.53,2,54.4385383,18.9248837,296.8,7.2,0.84,0
20.53,3,54.4386368,18.9254043,351.9,9.3,0.84,0
20.53,4,54.4386153,18.9256346,12.8,9.4,0.84,0
20.53,5,54.4383906,18.9253502,313.6,8.3,0.84,0
20.53,6,54.4383473,18.9251598,294.2,7.4,0.84,0
20.53,7,54.4382975,18.9249404,277.7,8.8,0.84,0
20.53,8,54.4384211,18.9255315,6.0,9.3,0.84,0
21.64,0,54.4385604,18.9253840,13.4,11.1,0.84,0
21.64,1,54.4384821,18.9253505,65.0,7.8,0.84,0
21.64,2,54.4385593,18.9248761,304.8,5.8,0.84,0
21.64,3,54.4386537,18.9254077,355.9,12.8,0.84,0
21.64,4,54.4386580,18.9256441,15.4,13.2,0.84,0
21.64,5,54.4384141,18.9253306,301.2,6.8,0.84,0
21.64,6,54.4383497,18.9251429,283.0,8.6,0.84,0
21.64,7,54.4383261,18.9249088,265.1,9.5,0.84,0
21.64,8,54.4384535,18.9255227,11.4,13.1,0.84,0
22.65,0,54.4385748,18.9253606,14.7,9.3,0.84,0
22.65,1,54.4385008,18.9253931,71.5,7.6,0.84,0
22.65,2,54.4385635,18.9248637,308.9,10.0,0.84,0
22.65,3,54.4386764,18.9253882,352.8,15.7,0.84,0
22.65,4,54.4386720,18.9256313,16.4,14.0,0.84,0
22.65,5,54.4384237,18.9253104,301.0,7.6,0.84,0
22.65,6,54.4383668,18.9251064,281.3,9.4,0.84,0
22.65,7,54.4383244,18.9248977,257.1,9.1,0.84,0
22.65,8,54.4384774,18.9255308,13.9,14.1,0.84,0
23.66,0,54.4386110,18.9253573,10.3,8.9,0.84,0
23.66,1,54.4385007,18.9254051,73.8,6.6,0.84,0
23.66,2,54.4385770,18.9248339,311.0,13.5,0.84,0
23.66,3,54.4386902,18.9253746,338.9,15.6,0.84,0
23.66,4,54.4386774,18.9256366,21.1,12.1,0.84,0
23.66,5,54.4384243,18.9253076,292.8,9.1,0.84,0
23.66,6,54.4383699,18.9250961,274.4,9.6,0.84,0
23.66,7,54.4383341,18.9248813,253.8,9.0,0.84,0
23.66,8,54.4384998,18.9255373,17.4,12.3,0.84,0
24.67,0,54.4386255,18.9253753,3.0,6.9,0.84,0
