t_s,cell_id,centre_lat,centre_lon,staleness_s
20.1,30,54.4470363,18.8713508,-1.0
20.1,31,54.4470363,18.8760390,-1.0
20.1,32,54.4470363,18.8807273,-1.0
20.1,33,54.4470363,18.8854155,-1.0
20.1,34,54.4470363,18.8901037,-1.0
20.1,35,54.4470363,18.8947920,-1.0
20.1,36,54.4497312,18.8572861,-1.0
20.1,37,54.4497312,18.8619743,-1.0
20.1,38,54.4497312,18.8666626,-1.0
20.1,39,54.4497312,18.8713508,-1.0
20.1,40,54.4497312,18.8760390,-1.0
20.1,41,54.4497312,18.8807273,-1.0
20.1,42,54.4497312,18.8854155,-1.0
20.1,43,54.4497312,18.8901037,-1.0
20.1,44,54.4497312,18.8947920,-1.0
20.1,45,54.4524261,18.8572861,-1.0
20.1,46,54.4524261,18.8619743,-1.0
20.1,47,54.4524261,18.8666626,-1.0
20.1,48,54.4524261,18.8713508,-1.0
20.1,49,54.4524261,18.8760390,-1.0
20.1,50,54.4524261,18.8807273,-1.0
20.1,51,54.4524261,18.8854155,-1.0
20.1,52,54.4524261,18.8901037,-1.0
20.1,53,54.4524261,18.8947920,-1.0
20.1,54,54.4551211,18.8572861,-1.0
20.1,55,54.4551211,18.8619743,-1.0
20.1,56,54.4551211,18.8666626,-1.0
20.1,57,54.4551211,18.8713508,-1.0
20.1,58,54.4551211,18.8760390,-1.0
20.1,59,54.4551211,18.8807273,-1.0
20.1,60,54.4551211,18.8854155,-1.0
20.1,61,54.4551211,18.8901037,-1.0
20.1,62,54.4551211,18.8947920,-1.0
20.1,63,54.4578160,18.8572861,-1.0
20.1,64,54.4578160,18.8619743,-1.0
20.1,65,54.4578160,18.8666626,-1.0
20.1,66,54.4578160,18.8713508,-1.0
20.1,67,54.4578160,18.8760390,-1.0
20.1,68,54.4578160,18.8807273,-1.0
20.1,69,54.4578160,18.8854155,-1.0
20.1,70,54.4578160,18.8901037,-1.0
20.1,71,54.4578160,18.8947920,-1.0
20.1,72,54.4605109,18.8572861,-1.0
20.1,73,54.4605109,18.8619743,-1.0
20.1,74,54.4605109,18.8666626,-1.0
20.1,75,54.4605109,18.8713508,-1.0
20.1,76,54.4605109,18.8760390,-1.0
20.1,77,54.4605109,18.8807273,-1.0
20.1,78,54.4605109,18.8854155,-1.0
20.1,79,54.4605109,18.8901037,-1.0
20.1,80,54.4605109,18.8947920,-1.0
20.1,81,54.4632059,18.8572861,-1.0
20.1,82,54.4632059,18.8619743,-1.0
20.1,83,54.4632059,18.8666626,-1.0
20.1,84,54.4632059,18.8713508,-1.0
20.1,85,54.4632059,18.8760390,-1.0
20.1,86,54.4632059,18.8807273,-1.0
20.1,87,54.4632059,18.8854155,-1.0
20.1,88,54.4632059,18.8901037,-1.0
20.1,89,54.4632059,18.8947920,-1.0
30.2,0,54.4389515,18.8572861,-1.0
30.2,1,54.4389515,18.8619743,-1.0
30.2,2,54.4389515,18.8666626,-1.0
30.2,3,54.4389515,18.8713508,-1.0
30.2,4,54.4389515,18.8760390,-1.0
30.2,5,54.4389515,18.8807273,-1.0
30.2,6,54.4389515,18.8854155,-1.0
30.2,7,54.4389515,18.8901037,-1.0
30.2,8,54.4389515,18.8947920,-1.0
30.2,9,54.4416464,18.8572861,-1.0
30.2,10,54.4416464,18.8619743,-1.0
30.2,11,54.4416464,18.8666626,-1.0
30.2,12,54.4416464,18.8713508,-1.0
30.2,13,54.4416464,18.8760390,-1.0
30.2,14,54.4416464,18.8807273,-1.0
30.2,15,54.4416464,18.8854155,-1.0
30.2,16,54.4416464,18.8901037,-1.0
30.2,17,54.4416464,18.8947920,-1.0
