timestamp,mmsi,name,ship_type,lat,lon,speed_kn,course_deg
2026-04-28T12:16:07.834399+00:00,477949300,OOCL SWEDEN,0,54.503027,18.986388,10.0,206.1
2026-04-28T12:16:09.538264+00:00,261185430,MANAT,52,54.310842,18.917092,0.0,360.0
2026-04-28T12:16:17.776049+00:00,477949300,OOCL SWEDEN,0,54.50261,18.986052,9.9,206.1
2026-04-28T12:16:27.138108+00:00,477949300,OOCL SWEDEN,0,54.502242,18.98573,9.9,206.0
2026-04-28T12:16:37.647441+00:00,477949300,OOCL SWEDEN,0,54.50184,18.985377,9.9,206.0
2026-04-28T12:16:38.097260+00:00,261187610,FIORETTO,0,54.289147,18.921602,0.0,302.2
2026-04-28T12:16:46.527203+00:00,261185360,NERPA,0,54.310742,18.917508,0.0,360.0
2026-04-28T12:16:47.564968+00:00,477949300,OOCL SWEDEN,0,54.50143,18.98503,9.9,206.0
2026-04-28T12:16:57.776811+00:00,373191000,FURNESS VICTORIA,0,54.453078,18.828958,0.2,254.7
2026-04-28T12:16:58.202599+00:00,477949300,OOCL SWEDEN,0,54.500967,18.984662,9.9,205.9
2026-04-28T12:17:04.496515+00:00,636023947,ASPEN,0,54.444533,18.874238,0.0,280.0
2026-04-28T12:17:07.832023+00:00,477949300,OOCL SWEDEN,0,54.500588,18.984363,9.9,205.9
2026-04-28T12:17:17.780078+00:00,477949300,OOCL SWEDEN,0,54.500172,18.984018,9.9,205.8
2026-04-28T12:17:18.284056+00:00,211397660,SEALING,0,54.45091,18.892282,0.1,287.0
2026-04-28T12:17:27.139844+00:00,477949300,OOCL SWEDEN,0,54.499807,18.98372,9.9,205.8
2026-04-28T12:17:37.645347+00:00,477949300,OOCL SWEDEN,0,54.499312,18.983333,9.8,205.7
2026-04-28T12:17:47.562715+00:00,477949300,OOCL SWEDEN,0,54.498903,18.983,9.8,205.7
2026-04-28T12:17:57.162728+00:00,477949300,OOCL SWEDEN,0,54.498535,18.982685,9.8,205.6
2026-04-28T12:18:07.829735+00:00,477949300,OOCL SWEDEN,0,54.498085,18.982293,9.8,205.6
2026-04-28T12:18:17.855567+00:00,477949300,OOCL SWEDEN,0,54.497667,18.981948,9.8,205.5
2026-04-28T12:18:27.137924+00:00,477949300,OOCL SWEDEN,0,54.497293,18.981652,9.8,205.5
2026-04-28T12:18:37.643478+00:00,477949300,OOCL SWEDEN,0,54.49689,18.981322,9.8,205.5
2026-04-28T12:18:47.567100+00:00,477949300,OOCL SWEDEN,0,54.496482,18.980997,9.7,205.5
2026-04-28T12:18:54.868517+00:00,564329000,EAGLE KLANG,0,54.452235,18.858518,0.0,267.3
2026-04-28T12:18:57.166669+00:00,477949300,OOCL SWEDEN,0,54.496073,18.980668,9.7,205.5
2026-04-28T12:19:07.828537+00:00,477949300,OOCL SWEDEN,0,54.495658,18.980342,9.7,205.6
2026-04-28T12:19:09.538305+00:00,261185430,MANAT,52,54.31083,18.917098,0.0,360.0
2026-04-28T12:19:17.859823+00:00,477949300,OOCL SWEDEN,0,54.495218,18.979983,9.7,205.6
